Edad,qx,Ix,dx,v^x,k,Dx,Cx,Mx,Rx,Nx,Sx
12,0.000396,100000,39.6,0.62459705,0,62459.70496,23.78273381,6458.925738,325780.6095,1456020.26,29386230.91
13,0.000427,99960.4,42.6830908,0.600574086,1,60033.62588,24.64842139,6435.143004,319321.6838,1393560.555,27930210.65
14,0.00046,99917.71691,45.96214978,0.577475083,2,57699.99185,25.52115024,6410.494583,312886.5408,1333526.929,26536650.09
15,0.000495,99871.75476,49.43651861,0.555264503,3,55455.24024,26.39456146,6384.973433,306476.0462,1275826.937,25203123.16
16,0.000533,99822.31824,53.20529562,0.533908176,4,53295.95182,27.31417531,6358.578871,300091.0728,1220371.697,23927296.23
17,0.000575,99769.11295,57.36723994,0.513373246,5,51218.79335,28.31808286,6331.264696,293732.4939,1167075.745,22706924.53
18,0.000619,99711.74571,61.72157059,0.493628121,6,49220.52168,29.29567588,6302.946613,287401.2292,1115856.952,21539848.78
19,0.000667,99650.02413,66.4665661,0.474642424,7,47298.12901,30.33447313,6273.650937,281098.2826,1066636.43,20423991.83
20,0.000718,99583.55757,71.50099433,0.456386946,8,45448.63573,31.3770389,6243.316464,274824.6316,1019338.301,19357355.4
21,0.000773,99512.05657,76.92281973,0.438833602,9,43669.23424,32.45799814,6211.939425,268581.3152,973889.6652,18338017.1
22,0.000833,99435.13375,82.82946642,0.421955387,10,41957.19031,33.6060957,6179.481427,262369.3757,930220.431,17364127.44
23,0.000897,99352.30429,89.11901695,0.405726333,11,40309.84613,34.76724228,6145.875331,256189.8943,888263.2407,16433907
24,0.000966,99263.18527,95.88823697,0.390121474,12,38724.70019,35.96928883,6111.108089,250044.019,847953.3945,15545643.76
25,0.001041,99167.29703,103.2331562,0.375116802,13,37199.31935,37.23508793,6075.1388,243932.9109,809228.6943,14697690.37
26,0.001121,99064.06388,111.0508156,0.360689233,14,35731.34121,38.51426298,6037.903712,237857.7721,772029.375,13888461.68
