Edad,Qx,Px,Vx,lx,dx,Cx,Dx,Mx,Nx,Rx,Sx
0,0.000433,0.999567,1,100000,43.3,42.03883495,100000,9341.270854,3112615.959,686365.4321,83301222.34
1,0.000433,0.999567,0.970873786,99956.7,43.2812511,40.79673023,97045.33981,9299.23202,3012615.959,677024.1613,80188606.38
2,0.000434,0.999566,0.942595909,99913.41875,43.36242374,39.68276041,94177.97978,9258.435289,2915570.619,667724.9293,77175990.43
3,0.000434,0.999566,0.915141659,99870.05633,43.34360445,38.51023116,91395.24907,9218.752529,2821392.639,658466.494,74260419.81
4,0.000435,0.999565,0.888487048,99826.71272,43.42462003,37.4584587,88694.74129,9180.242298,2729997.39,649247.7414,71439027.17
5,0.000436,0.999564,0.862608784,99783.2881,43.50551361,36.43518273,86073.94085,9142.783839,2641302.649,640067.4991,68709029.78
6,0.000438,0.999562,0.837484257,99739.78259,43.68602477,35.52073591,83530.49768,9106.348656,2555228.708,630924.7153,66067727.13
7,0.00044,0.99956,0.813091511,99696.09656,43.86628249,34.62844847,81062.04983,9070.82792,2471698.21,621818.3667,63512498.42
8,0.000443,0.999557,0.789409234,99652.23028,44.14593801,33.83418556,78666.3908,9036.199472,2390636.161,612747.5387,61040800.21
9,0.000446,0.999554,0.766416732,99608.08434,44.42520562,33.05652517,76341.30252,9002.365286,2311969.77,603711.3393,58650164.05
10,0.000449,0.999551,0.744093915,99563.65914,44.70408295,32.29518068,74084.71291,8969.308761,2235628.467,594708.974,56338194.28
11,0.000453,0.999547,0.722421277,99518.95505,45.08208664,31.61966853,71894.61056,8937.013581,2161543.754,585739.6652,54102565.81
12,0.000457,0.999543,0.70137988,99473.87297,45.45955995,30.95574826,69768.9731,8905.393912,2089649.144,576802.6516,51941022.06
13,0.000463,0.999537,0.68095134,99428.41341,46.03535541,30.43479316,67705.91134,8874.438164,2019880.171,567897.2577,49851372.91
14,0.000468,0.999532,0.661117806,99382.37805,46.51095293,29.85361082,65703.45971,8844.003371,1952174.259,559022.8196,47831492.74
15,0.000475,0.999525,0.641861947,99335.8671,47.18453687,29.40384342,63759.9131,8814.14976,1886470.8,550178.8162,45879318.48
16,0.000482,0.999518,0.623166939,99288.68256,47.85714499,28.95435977,61873.42441,8784.745916,1822710.887,541364.6664,43992847.68
17,0.000489,0.999511,0.605016446,99240.82542,48.52876363,28.50553407,60042.33148,8755.791557,1760837.462,532579.9205,42170136.8
18,0.000498,0.999502,0.587394608,99192.29665,49.39776373,28.17085441,58265.02017,8727.286022,1700795.131,523824.129,40409299.34
19,0.000507,0.999493,0.570286027,99142.89889,50.26544974,27.83076079,56539.80989,8699.115168,1642530.111,515096.8429,38708504.2
20,0.000517,0.999483,0.553675754,99092.63344,51.23089149,27.53912862,54865.18855,8671.284407,1585990.301,506397.7278,37065974.09
21,0.000528,0.999472,0.537549276,99041.40255,52.29386055,27.29177366,53239.63422,8643.745279,1531125.112,497726.4434,35479983.79
22,0.00054,0.99946,0.521892501,98989.10869,53.45411869,27.08476086,51661.67349,8616.453505,1477885.478,489082.6981,33948858.68
23,0.000553,0.999447,0.506691748,98935.65457,54.71141698,26.91439177,50129.8798,8589.368744,1426223.804,480466.2446,32470973.2
24,0.000567,0.999433,0.491933736,98880.94315,56.06549477,26.77719254,48642.87182,8562.454352,1376093.925,471876.8758,31044749.4
25,0.000582,0.999418,0.477605569,98824.87766,57.5160788,26.66990248,47199.31195,8535.67716,1327451.053,463314.4215,29668655.47
26,0.000598,0.999402,0.463694727,98767.36158,59.06288222,26.58946318,45797.90481,8509.007257,1280251.741,454778.7443,28341204.42
27,0.000616,0.999384,0.450189056,98708.2987,60.804312,26.57615127,44437.39579,8482.417794,1234453.836,446269.7371,27060952.68
28,0.000635,0.999365,0.437076753,98647.49438,62.64115893,26.58154792,43116.52655,8455.841643,1190016.44,437787.3193,25826498.84
29,0.000656,0.999344,0.424346362,98584.85322,64.67166372,26.64386917,41834.12384,8429.260095,1146899.914,429331.4776,24636482.4
30,0.000678,0.999322,0.41198676,98520.18156,66.7966831,26.71781458,40589.01035,8402.616226,1105065.79,420902.2175,23489582.49
31,0.000703,0.999297,0.399987145,98453.38488,69.21272957,26.87786613,39380.08835,8375.898411,1064476.779,412499.6013,22384516.7
32,0.000729,0.999271,0.388337034,98384.17215,71.7220615,27.04109965,38206.21762,8349.020545,1025096.691,404123.7029,21320039.92
33,0.000757,0.999243,0.377026247,98312.45009,74.42252472,27.2419856,37066.37406,8321.979445,986890.4735,395774.6823,20294943.23
34,0.000788,0.999212,0.3660449,98238.02756,77.41156572,27.51078525,35959.52895,8294.73746,949824.0994,387452.7029,19308052.76
35,0.000821,0.999179,0.355383398,98160.616,80.58986573,27.80611681,34884.65324,8267.226675,913864.5705,379157.9654,18358228.66
36,0.000857,0.999143,0.345032425,98080.02613,84.05458239,28.15685087,33840.78927,8239.420558,878979.9172,370890.7388,17444364.09
37,0.000896,0.999104,0.334982937,97995.97155,87.80439051,28.55628409,32826.97836,8211.263707,845139.128,362651.3182,16565384.17
38,0.000938,0.999062,0.325226152,97908.16716,91.83786079,28.9981302,31842.29649,8182.707423,812312.1496,354440.0545,15720245.04
39,0.000983,0.999017,0.315753546,97816.3293,96.1534517,29.47649838,30885.85283,8153.709293,780469.8531,346257.3471,14907932.89
40,0.001033,0.998967,0.306556841,97720.17585,100.9449416,30.04404117,29956.78839,8124.232794,749584.0003,338103.6378,14127463.04
41,0.001087,0.998913,0.297628001,97619.2309,106.112104,30.66207123,29054.21653,8094.188753,719627.2119,329979.405,13377879.04
42,0.001145,0.998855,0.288959224,97513.1188,111.652521,31.32332606,28177.31514,8063.526682,690572.9954,321885.2162,12658251.83
43,0.001208,0.998792,0.280542936,97401.46628,117.6609713,32.04752847,27325.29332,8032.203356,662395.6802,313821.6896,11967678.83
44,0.001278,0.998722,0.272371782,97283.80531,124.3287032,32.87731116,26497.36346,8000.155827,635070.3869,305789.4862,11305283.15
45,0.001353,0.998647,0.264438624,97159.4766,131.4567718,33.74975518,25692.71828,7967.278516,608573.0234,297789.3304,10670212.76
46,0.001435,0.998565,0.256736528,97028.01983,139.2352085,34.7055961,24910.63692,7933.528761,582880.3052,289822.0519,10061639.74
47,0.001525,0.998475,0.249258765,96888.78462,147.7553966,35.7566288,24150.3788,7898.823165,557969.6682,281888.5231,9478759.436
48,0.001623,0.998377,0.241998801,96741.02923,157.0106904,36.88970759,23411.21308,7863.066536,533819.2894,273989.6999,8920789.768
49,0.00173,0.99827,0.234950292,96584.01854,167.0903521,38.11449227,22692.44338,7826.176828,510408.0764,266126.6334,8386970.479
50,0.001848,0.998152,0.22810708,96416.92819,178.1784833,39.45997428,21993.38393,7788.062336,487715.633,258300.4566,7876562.402
51,0.001977,0.998023,0.221463184,96238.7497,190.2640082,40.90919718,21313.33996,7748.602362,465722.2491,250512.3942,7388846.769
52,0.002119,0.997881,0.2150128,96048.48569,203.5267412,42.48626655,20651.65387,7707.693165,444408.9091,242763.7919,6923124.52
